2026-03-12 02:18:53 | INFO     | local_cartridge_train |   - ✓ Cache initialized from PATIENT DOCUMENTS (not random text)
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   - Optimizer: Adam(lr=0.02)
2026-03-12 02:18:53 | INFO     | local_cartridge_train | --------------------------------------------------
2026-03-12 02:18:53 | INFO     | local_cartridge_train | Loading evaluation questions...
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   - Loaded 200 evaluation questions (SHUFFLED for balanced coverage)
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   - Evaluation patients: ['patient_01', 'patient_02', 'patient_03', 'patient_04', 'patient_05', 'patient_06', 'patient_07', 'patient_08', 'patient_09', 'patient_10']
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   - Save directory: ./local_checkpoints/onpolicy_final
2026-03-12 02:18:53 | INFO     | local_cartridge_train | ======================================================================
2026-03-12 02:18:53 | INFO     | local_cartridge_train | TRAINING INITIALIZATION COMPLETE
2026-03-12 02:18:53 | INFO     | local_cartridge_train | ======================================================================
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   Model: /Users/csuda/cartridges-workspace/model/Llama-3.2-3B-Instruct
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   Cache: 512 tokens, LR=0.02
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   Batch: 4 samples
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   Steps: 5
2026-03-12 02:18:53 | INFO     | local_cartridge_train | ======================================================================
2026-03-12 02:18:53 | INFO     | local_cartridge_train | ======================================================================
2026-03-12 02:18:53 | INFO     | local_cartridge_train | STEP 0 EVALUATION (before training)
2026-03-12 02:18:53 | INFO     | local_cartridge_train | ======================================================================
2026-03-12 02:18:53 | INFO     | local_cartridge_train |   [EVAL] Evaluating at step 0...
2026-03-12 02:18:53 | DEBUG    | local_cartridge_train |     Q0: pred=C correct=C
2026-03-12 02:18:54 | DEBUG    | local_cartridge_train |     Q1: pred=A correct=C
2026-03-12 02:18:54 | DEBUG    | local_cartridge_train |     Q2: pred=B correct=B
2026-03-12 02:18:57 | DEBUG    | local_cartridge_train |     [20/50] running acc=15.0%
2026-03-12 02:19:01 | DEBUG    | local_cartridge_train |     [40/50] running acc=20.0%
2026-03-12 02:19:03 | INFO     | local_cartridge_train |   [EVAL] Step 0: 9/50 = 18.0% (9.4s)
2026-03-12 02:19:03 | INFO     | local_cartridge_train |   Step 0 baseline accuracy: 18.0%
2026-03-12 02:19:03 | INFO     | local_cartridge_train |   - Checkpoint saved: ./local_checkpoints/onpolicy_final/step-0/cartridge.pt
2026-03-12 02:19:03 | INFO     | local_cartridge_train | ======================================================================
2026-03-12 02:19:03 | INFO     | local_cartridge_train | Starting training loop...
2026-03-12 02:19:03 | INFO     | local_cartridge_train | ======================================================================
2026-03-12 02:19:03 | INFO     | local_cartridge_train | --- STEP 1/5 ---
2026-03-12 02:19:03 | DEBUG    | local_cartridge_train | Step 1: Sampling 4 prompts...
2026-03-12 02:19:03 | DEBUG    | local_cartridge_train |   - Sampled 4 prompts, avg length: 81 tokens
2026-03-12 02:19:03 | DEBUG    | local_cartridge_train | Step 1: Generating responses locally...
2026-03-12 02:19:03 | DEBUG    | local_cartridge_train | generate_batch_local: Starting generation for 4 prompts
2026-03-12 02:19:03 | DEBUG    | local_cartridge_train |   - max_tokens: 256, temperature: 0.7, device: mps
2026-03-12 02:19:03 | DEBUG    | local_cartridge_train |   - Generating response 1/4, prompt length: 99
2026-03-12 02:19:23 | DEBUG    | local_cartridge_train |     - Generated 256 tokens
2026-03-12 02:19:23 | DEBUG    | local_cartridge_train |   - Generating response 2/4, prompt length: 77
2026-03-12 02:19:37 | DEBUG    | local_cartridge_train |     - Generated 256 tokens
